Judul Lagu,Penyanyi,Genre,Lirik Lagu,Tahun Rilis,Label Emosi
surat cinta untuk starla,virgoun,Pop Ballad,"Teruntuk kamu hidup dan matiku
Aku tak tahu lagi harus dengan kata apa aku menuliskannya
Atau dengan kalimat apa aku mengungkapkannya
Karna untuk kepergian kalinya
Kau buat aku kembali percaya akan kata cinta
Dan benar bahwa cinta masih berkuasa diatas segalanya
Ketika hati yang mudah rapuh ini
Diuji oleh duniawi diuji oleh materi
Untuk kesekian kali lagi lagi dan lagi

Kutuliskan kenangan tentang
Caraku menemukan dirimu
Tentang apa yang membuatku mudah
Berikan hatiku padamu

Takkan habis sejuta lagu
Untuk menceritakan cantikmu
Kan teramat panjang puisi
Tuk menyuratkan cinta ini

Telah habis sudah cinta ini
Tak lagi tersisa untuk dunia
Karena tlah kuhabiskan
Sisa cintaku hanya untukmu

Aku pernah berpikir tentang
Hidupku tanpa ada dirimu
Dapatkah lebih indah dari
Yang kujalani sampai kini

Aku slalu bermimpi tentang
Indah hari tua bersamamu
Tetap cantik rambut panjangmu
Meskipun nanti tak hitam lagi

Bila habis sudah waktu ini
Tak lagi berpijak pada dunia
Telah aku habiskan
Sisa hidupku hanya untukmu

Dan tlah habis sudah cinta ini
Tak lagi tersisa untuk dunia
Karena tlah kuhabiskan
Sisa cintaku hanya untukmu

Untukmu
Hidup dan matiku

Bila musim berganti
Sampai waktu terhenti
Walau dunia membenci
Ku kan tetap disini

Bila habis sudah waktu ini
Tak lagi berpijak pada dunia
Telah aku habiskan
Sisa hidupku hanya untukmu

Tlah habis sudah cinta ini
Tak lagi tersisa untuk dunia
Karena tlah kuhabiskan
Sisa cintaku hanya untukmu

Karena tlah kuhabiskan
Sisa cintaku hanya untukmu",2016,tenang
tapi tahukah kamu,dygta dan kamasean,Pop,"Bagaikan bintang di langit
Yang takkan bisa kuraih
Begitu pun kamu
Yang tak mungkin bisa aku miliki
Ku tahu siapa dirimu
Ku tahu siapa diriku
Kita yang berbeda
Kau dan aku bagai langit dan bumi
Tapi tahukah kamu
Betapa ku mencintai dirimu?
Tak sanggup ku melawan hatiku
Yang s'lalu menginginkanmu
Tolong yakinkan aku
Perjuangkan atau ku menyerah
Namun, bila tak bisa bersama
Lebih baik menghilang
Ku tahu siapa dirimu
Ku tahu siapa diriku
Kita yang berbeda
Kau dan aku bagai langit dan bumi
Sesungguhnya aku tak sanggup tanpamu
Tapi tahukah kamu
Betapa ku mencintai dirimu?
Tak sanggup ku melawan hatiku
Yang s'lalu menginginkanmu
Tolong yakinkan aku
Perjuangkan atau ku menyerah
Namun, bila tak bisa bersama
Lebih baik ku menghilang
oh-oh
(Yang mencintaimu)
Namun, bila tak bisa bersama
Kuharap kau bahagia",2023,sedih
satu bulan,bernadya,Pop Ballad,"Belum ada satu bulan
Ku yakin masih ada sisa wangiku di bajumu
Namun, kau tampak baik saja
Bahkan senyummu lebih lepas
Sedang aku di sini hampir gila
Kita tak temukan jalan
Sepakat akhiri setelah beribu debat panjang
Namun, kau tampak baik saja
Bahkan senyummu lebih lepas
Sedang aku di sini belum terima
Bohongkah tangismu sore itu di pelukku?
Nyatanya pergiku pun tak lagi mengganggumu
Apa sudah ada kabar lain yang kautunggu?
Sudah adakah yang gantikanku?
Yang khawatirkanmu setiap waktu
Yang cerita tentang apa pun sampai hal-hal tak perlu
Kalau bisa, jangan buru-buru
Kalau bisa, jangan ada dulu
Baru lewat satu bulan
Kemarin ulang tahunku, tak ada pesan darimu
Tak apa, mungkin kau lupa
Atau sudah ada hati yang harus kaujaga
Sudah adakah yang gantikanku?
Yang kauantar jemput setiap Sabtu
Yang s'lalu ingatkan untuk pakai sabuk pengamanmu
Kalau bisa, jangan buru-buru
Sudah adakah yang gantikanku?
Yang khawatirkanmu setiap waktu
Yang cerita tentang apa pun sampai hal-hal tak perlu
Kalau bisa, jangan buru-buru
Kalau bisa, jangan ada dulu
Hu, hu-uh
Hu-uh",2023,sedih
penjaga hati,nadhif basalamah,Pop,"Tak sadar ku temukan
Temukan wanita rupawan yang sadarkan
Dia seorang tiada lain tiada bukan
Hanya dia
Dia buatku nyaman
Dalam hangat pelukan
Dia perasa yang mengerti yang kurasa
Hanya dia
Kan ku arungi tujuh laut samudra
Kan ku daki pegunungan himalaya
Apapun kan ku lakukan tuk dirimu sayang
Oh penjaga hati
Kau dan aku sempurna
Semoga ada cara tuk terus bersama
Selalu ku tunggu
Tak mau berlalu
Kau dan aku
Kan ku arungi tujuh laut samudra
Kan ku daki pegunungan himalaya
Apapun kan ku lakukan tuk dirimu sayang
Oh penjaga hatiku
Oh oh
Kan ku arungi tujuh laut samudra
Kan ku daki pegunungan himalaya
Apapun kan ku lakukan tuk dirimu sayang
Oh penjaga hatiku oh
Karna bersamamu semua terasa indah
Gundah gulana hatiku pun hancur sirna
Janji ku tak kan ku lepas wahai kau bidadariku dari surga
Tuk selamanya
Tuk selamanya
Tuk selamanya",2021,senang
bertaut,nadin amizah,Pop Ballad,"Bun, hidup berjalan seperti bajingan
Seperti landak yang tak punya teman
Ia menggonggong bak suara hujan
Dan kau pangeranku, mengambil peran
Bun, kalau saat hancur, ku disayang
Apalagi saat ku jadi juara
Saat tak tahu arah, kau di sana
Menjadi gagah saat ku tak bisa
Sedikit kujelaskan tentangku dan kamu
Agar seisi dunia tahu
Keras kepalaku sama denganmu
Caraku marah, caraku tersenyum
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu
Aku masih ada sampai di sini
Melihatmu kuat setengah mati
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu
Bun, aku masih tak mengerti banyak hal
Semuanya berenang di kepala
Dan kau, dan semua yang kau tahu tentangnya
Menjadi jawab saat ku bertanya
Sedikit kujelaskan tentangku dan kamu
Agar seisi dunia tahu
Keras kepalaku sama denganmu
Caraku marah, caraku tersenyum
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu
Aku masih ada sampai di sini
Melihatmu kuat setengah mati
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu
Semoga lama hidupmu di sini
Melihatku berjuang sampai akhir
Seperti detak jantung yang bertaut
Nyawaku nyala kar'na denganmu
Hu-oh-oh, hu-uh-ho, hu-oh",2020,senang
"dia masa lalumu, aku masa depanmu",vionita,Pop,"Aku tak tahu harus gimana lagi
Untuk mencoba buatmu senyum lagi
Semuanya kucoba
Tapi tetap tak bisa
Aku tahu dia hancurkan hatimu
Dan membuatmu tak bisa utuh lagi
Tapi aku berbeda beriku kesempatan
Tetapi sabarku juga ada batasnya
Sebaiknya ku bisa menyerah juga
Dia masa lalumu
Aku masa depanmu
Dia hancurkan kamu
Kususun kembali hatimu
Tapi mengapa kamu
Masih terpenjara bayangnya
Aku sungguh cinta
Tapi mungkin kamu yang bodoh
Hu-uh
Aku tahu dia hancurkan hatimu
Dan membuatmu tak bisa utuh lagi
Tapi aku berbeda beriku kesempatan
Tetapi sabarku juga ada batasnya
Sebaiknya ku bisa menyerah juga
Dia masa lalumu
Aku masa depanmu
Dia hancurkan kamu
Kususun kembali hatimu
Tapi mengapa kamu
Masih terpenjara bayangnya
Aku sungguh cinta
Tapi mungkin kamu yang bodoh
Uh-uh
Dia masa lalumu
Aku masa depanmu
Dia hancurkan kamu
Kususun kembali hatimu
Tapi mengapa kamu
Masih terpenjara bayangnya
Aku sungguh cinta uh-oh
Aku sungguh cinta
Tapi mungkin kamu yang bodoh
Aku t′lah mencoba dan kini hatiku menyerah",2021,sedih
tertawan hati,awdella,Pop,"Oh-oh-oh-oh
Sudah kucoba sepenuh hati
Untuk menjadi malaikat
Menepikan perasaan, runtuhkan egoku
Namun, sayapku remuk
Bila kutanya pada diriku
Mengapa aku bertahan?
Menerima keadaan yang tak baik saja
Memaksakan segalanya
Sakit, tak sanggup
Sadarkah kita terlalu hancur?
Hilang, habis tak bersisa
Tapi tak mampu ku menyerah
Tertawan hati
ho-oh-uh-oh
Tak mau kehilangan, tapi lelah berjuang
Bukankah rumah tempatku bersandar?
Sendiri ku tak bisa, bersama ku tersiksa
Ini kenyataannya, kita tak baik saja
Sakit, tak sanggup
Sadarkah kita terlalu hancur?
Hilang, habis tak bersisa
Tapi tak mampu ku menyerah
Tertawan hati
ho-oh-oh
(Sadarkah) ho-oh, kita terlalu hancur?
Hilang, habis tak bersisa
Tapi tak mampu ku menyerah, ho-oh-oh
Tak mampu ku menyerah
Tertawan hati
He-hm-mm",2022,sedih
sisa rasa,mahalini,Pop Ballad,"Ha-ah-ah-ah
Melihatmu bahagia, satu hal yang terindah
Anug'rah cinta yang pernah kupunya
Kau buatku percaya ketulusan cinta
Seakan kisah sempurna 'kan tiba
Masih jelas teringat pelukanmu yang hangat
Seakan semua tak mungkin menghilang
Kini hanya kenangan yang telah kau tinggalkan
Tak tersisa lagi waktu bersama
Mengapa masih ada
Sisa rasa di dada
Di saat kau pergi begitu saja?
Mampukah ku bertahan
Tanpa hadirmu, sayang?
Tuhan, sampaikan rindu untuknya (rindu untuknya)
Masih jelas teringat (jelas teringat) pelukanmu yang hangat
Seakan semua tak mungkin menghilang (menghilang)
Kini hanya kenangan yang t'lah kau tinggalkan
Tak tersisa lagi waktu bersama (waktu bersama)
Mengapa masih ada
Sisa rasa di dada
Di saat kau pergi begitu saja? (Begitu saja)
Mampukah ku bertahan
Tanpa hadirmu, sayang?
Tuhan, sampaikan rindu untuknya
Oh, masih tersimpan
Setiap kеnangan, ho-wo-wo-oh
Semua cinta yang kau beri
Kau takkan terganti
Mеngapa masih ada (masih ada)
Sisa rasa di dada (rasa di dada)
Di saat kau pergi begitu saja?
Mampukah ku bertahan
(Tanpa hadirmu, sayang?)
Tuhan, sampaikan rindu untuknya
Sampaikan rinduku untuknya",2023,sedih
satu-satu,idgitaf,"Pop, R&B","Mata pernah melihat
Telinga pernah mendengar
Badan pernah merasa
Terekam jelas seakan terjadi
Baru saja
Siapakah yang salah
Siapa yang tanggung jawab
Waktu terus berjalan
Terasa salah karena
Ada yang belum selesai oh no no
Aku sudah tak marah
Walau masih teringat
Semua yang terjadi kemarin
Jadikan aku yang hari ini
Aku sudah tak benci
Walau nyatanya merugi
Terdengar tidaknya kata maaf
Dada lapang terima semua
Akan ada masa depan
Bagi semua yang bertahan
Duniaku pernah hancur
Rangkai lagi satu satu
Hu
Tak semua kan paham
Dan tak semua katakan
Maaf semua harus terjadi
Pasti rasa sepi
Kini kau tak sendiri lagi
Tak pendam lagi
Aku akan coba pahami
Aku sudah tak marah
Walau masih teringat
Semua yang terjadi kemarin
Jadikan ku yang hari ini
Aku sudah tak benci
Walau nyatanya merugi
Terdengar tidaknya kata maaf
Dada lapang terima semua
Akan ada masa depan
Bagi semua yang bertahan
Duniaku pernah hancur
Rangkai lagi satu satu
Akan ada masa depan
Bagi semua yang bertahan
Duniaku pernah hancur
Rangkai lagi satu satu
Akan ada masa depan
Bagi semua yang bertahan
Duniaku pernah hancur
Rangkai lagi satu satu
Rangkai lagi satu satu
Rangkai lagi satu satu",2023,tenang
tanpa rasa bersalah,fabio asher,Pop,"Andai sejak awal ku tahu akhirnya begini
Ku tak akan mau mencintaimu tlah sedalam ini
Entah apa salah dan dosaku hingga Tuhan pertemukanku denganmu
Hancurkan diriku
Hadirmu hanya menambah luka baru
Saat hatiku tlah percaya
Cinta ini kan selamanya
Tapi mengapa hatimu berubah
Kau yang berjanji ku yang terluka
Masih kuingat kata setia
Kau bilang takkan buat ku kecewa
Namun kini kau menghilang pergi
Tanpa rasa bersalah
Hadirmu hanya menambah luka baru
Saat hatiku tlah percaya
Cinta ini kan selamanya
Tapi mengapa hatimu berubah
Kau yang berjanji ku yang terluka
Masih kuingat kata setia
Kau bilang takkan buat ku kecewa
Namun kini kau menghilang pergi
Tanpa rasa bersalah
Dengan sengajanya kaupatahkan semua harapan
Kini kau tinggalkan kenangan yang sulit kulupakan
Wo wo oh
Saat hatiku tlah percaya
Cinta ini kan selamanya
Tapi mengapa hatimu berubah
Kau yang berjanji ku yang terluka
Masih kuingat kata setia
Kau bilang takkan buat ku kecewa
Namun kini kau menghilang pergi
Tanpa rasa bersalah
Saat hati ni telah percaya
Cinta ini kan selamanya ha
Tapi mengapa hatimu berubah ah
Kau yang berjanji ku yang terluka
Masih kuingat kata setia
Kau bilang takkan buat ku kecewa
Namun kini kau menghilang pergi
Tanpa rasa bersalah
Namun kini kau menghilang pergi
Tanpa rasa bersalah",2023,sedih
selamat,virgoun,Pop,"Di tempat ini
Di tempat pertama aku menemukanmu
Kembali kudatangi tempat ini
Tapi ku dengan yang lain
Samar kudengar
Suara yang s'lalu kukenal itu suaramu
Kau terlihat bahagia bersamanya
Dia kekasihmu yang baru
Aku pun terdiam
Saat gadis kecil berlari ke arahmu
Gadis kecil yang miliki mata indah
Persis seperti matamu
aku pun tersenyum
Dan kugenggam tangan wanita di sampingku
(Dan kaugenggam tangannya, dan kaugenggam tangannya)
Dan berkata lirih di dalam hati (lirih hati)
Tentang semua ini
Andai dulu kau tak pergi dari hidupku
Takkan mungkin kutemui cinta yang kini kumiliki
Cinta yang menerima kekurangan
Dan merubah caraku memandang dunia
Andai dulu kupaksakan t'rus bersamamu
Belum tentu kisah kita berdua berakhir bahagia
Kisah yang mendewasakan kita berdua
Meski lewat luka
Satu hal yang kini aku mengerti
Meski berat bibir ini mengucap
Akan s'lalu ada kata selamat
Dalam setiap kata s'lamat tinggal
Wo-wo-ho-oh-oh (ho-wo-wo)
Andai dulu kau tak pergi dari hidupku (pergi dari hidupmu)
Takkan mungkin kutemui cinta yang kini kumiliki (kumiliki)
Cinta yang menerima kekurangan (dan merubah caraku, oh)
Dan merubah caraku memandang dunia
Andai dulu kupaksakan t'rus bersamamu (untuk terus bersamamu)
Belum tentu kisah kita berdua berakhir bahagia
Kisah yang mendewasakan kita berdua
Meski lewat luka (meski lewat luka)
Meski lewat luka
Satu hal yang kini aku mengerti
Meski berat bibir ini mengucap
Akan s'lalu ada kata selamat
Dalam setiap kata s'lamat tinggal
S'lamat tinggal (s'lamat tinggal)
Samar kudengar (di tempat ini)
Suara yang s'lalu kukenal itu suaramu
Di tempat pertama aku menemukanmu",2022,tenang
mengapa,rony parulian,Pop Ballad,"Beribu cara yang kulakukan
Agar kamu tetap bahagia dengan diriku
Walaupun sederhana yang kupunya
Ku tahu memang cinta kita tak direstui
Namun, ku sedang berjuang untuk tunjukkan
Bahwa ku pantas untukmu
Memang tak bisa kupungkiri, banyak kekuranganku
Namun, tak pernah ada kata menyerah
Sadar ku disepelekan, aku dianggap kecil
Tapi tak apa-apa
Bilang, bilang pada mereka
Kita ini pantas 'tuk bersama
Dan yakinkan, yakinkan mereka
Bahwa kau bahagia denganku
Ku 'kan tunjukkan, tunjukkan pada dunia
Cintaku mampu bahagia bersamamu
Memang tak bisa kupungkiri, banyak kekuranganku
Namun, tak pernah ada kata menyerah
Sadar ku disepelekan, aku dianggap kecil
Tapi tak apa-apa
Bilang, bilang pada mereka
Kita ini pantas 'tuk bersama
Dan yakinkan, yakinkan mereka
Bahwa kau bahagia denganku
Ku 'kan tunjukkan, tunjukkan pada dunia
Cintaku mampu bahagia bersamamu
bilang pada mereka
Dan yakinkan, yakinkan mereka (yakinkan mereka)
Bahwa kau bahagia denganku
Ku 'kan tunjukkan, tunjukkan pada dunia
Cintaku mampu bahagia bersamamu
Hu-uh-uh-uh-uh-uh",2023,senang
